transaction_id,date,time_id,passenger_id,route_id,route_name,bus_id,bus_number,bus_type,fuel_type,capacity,source_stop,destination_stop,boarding_time,age_group,gender,ticket_type,fare_type_id,fare_code,discount_percent,base_fare,actual_fare,concession_flag,zone_source,zone_dest,region_source,region_dest,distance_km,day_of_week,season,holiday_flag,peak_hour_flag,frequency_weekday,frequency_sunday,first_bus,last_bus
# NaviBus Massive Data Warehouse - 9928 Records
# Generated on 2025-08-06 23:56:57
# Realistic Mumbai bus travel patterns with stop-to-stop logic

1,2024-10-10,284,10001,1,5,3,MH04UJ5343,Non-AC,CNG,45,Saket Phata,Lodha Complex,22:02:00,Child,Male,Single,4,CHILD,50.0,11.1,5.55,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
2,2024-10-10,284,10002,1,5,3,MH04UJ5343,Non-AC,CNG,45,Airoli Station,Airoli Bus Station,22:02:00,Adult,Male,Weekly,7,WEEKLY,10.0,11.1,9.99,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
3,2024-10-10,284,10003,1,5,3,MH04UJ5343,Non-AC,CNG,45,Railway Bridge Pimplas,Court Naka (Kanhaji Angre Chowk),22:02:00,Child,Male,Return,4,CHILD,50.0,14.23,14.23,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
4,2024-10-10,284,10004,1,5,3,MH04UJ5343,Non-AC,CNG,45,Toll Plaza Kharegaon,Vitava Naka,22:02:00,Adult,Male,Single,1,REGULAR,0.0,14.8,14.8,FALSE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
5,2024-10-10,284,10005,1,5,1,MH04AE2228,Non-AC,CNG,46,Police Line,Kalwa Naka,15:36:00,Student,Male,Single,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
6,2024-10-10,284,10006,1,5,3,MH04UJ5343,Non-AC,CNG,45,Ganpati Pada (Vitava Naka),Minds Space,14:56:00,Student,Female,Monthly,2,STUDENT,25.0,11.1,8.32,TRUE,Thane,Navi_Mumbai,Thane_District,Thane_District,28.5,Thursday,Winter,FALSE,FALSE,22,37,05:40:00,21:45:00
