Route Number,Source and Destination,Stops
5,Airoli Bus Station ↔ Ghansoli Depot,"['Airoli Bus Station', 'Airoli Sector 4 (Abhang Society)', 'Airoli Sector 5 / Abhang Society', 'Sahakar Bazar (Airoli)', 'Rabale Police Station', 'Rabale Naka', 'Rabale Station', 'Gothivali Village / Telephone Exchange', 'Talavali Naka / Nocil Company', 'Ghansoli Naka', 'Ghansoli School', 'Ghansoli Gharonda (Towards Vashi)', 'Rajiv Gandhi College', 'Bhoomi Oscar Chowk', 'Cloud 36 Society', 'Atlantis Society', 'Ghansoli Depot']"
86,Diva Station ↔ Airoli Bus Station,"['Diva Station', 'National School Diva', 'Sudama Regency', 'Khardi Gaon', 'Chandicha Pada', 'Ladhi Company', 'Phadke Tantra Niketan', 'Shil Gaon', 'Talav', 'Shil Phata Mumbra Road', 'Kalsekar', 'Bharat Gears (Mumbra)', 'Millenium Hospital (Kousa)', 'Shimla Park', 'Kousa Jama Masjid', 'Kousa Gaon', 'Almos Colony (Kousa)', 'Nashimat Colony', 'Kismat Colony', 'Amrut Nagar (Mumbra)', 'Shankar Mandir Mumbra', 'Shivsena Office (Mumbra)', 'Mumbra Police Station', 'Lalit Clinic', 'Mumbra Prabhat Office', 'Mumbra Railway Station', 'Mumbra Dattawadi', 'Retibunder Number 1', 'Rananagar', 'Retibunder 2', 'Reti Bunder Circle (Atmaram Patil Chowk)', 'Reti Bunder Circle Kalwa', 'Sainath Nagar', 'Subhash Tower', 'Vastu Anand', 'Parsik Nagar', 'Raj Park', 'Premnagar', 'Khare Gaon Naka', 'Dattawadi Khare Gaon', 'Sahyadri Society', 'Manisha Nagar', 'Kalwa Naka', 'Court Naka (Kanhaji Angre Chowk)', 'Mahagiri Koliwada', 'Dadoji Konddev Stadium', 'Thane', 'Chendani Koliwada', 'Dadoji Kondadev Stadium', 'Mahagiri Koliwada', 'Court Naka (Kanhaji Angre Chowk)', 'Kalwa Naka', 'Chhatrapati Shivaji Maharaj Hospital Kalwa', 'Vitava Village', 'Vitava Naka', 'Ganpati Pada (Vitava Naka)', 'Patni Company Airoli', 'Mindspace (Capgemini)', 'Axis Bank', 'Neva Garden', 'Smashan Bhumi Airoli', 'Airoli Sector 20', 'Sector 19 Airoli', 'Ojas Apartment', 'Gaondevi Maidan / Airoli Gaon', 'Datta Meghe College', 'P C Society Madhavi Road', 'Motiram Shankar Patekar Chowk', 'Parsik Bank', 'Modi Hospital', 'Airoli Station (W)', 'Airoli Bus Station']"
105,Panvel Station (W) ↔ Bandra Station (W) [Nmmt],"['Panvel Station (W)', 'Panvel Bus Station / Shivajinagar', 'Orion Mall Panvel', 'New Panvel Bridge', 'Amardham / C.K.T College', 'Thane Naka / Garden Hotel', 'Khanda Gaon Colony', 'Khanda Gaon Netrajyot Hospital', 'Asudgaon Depot Highway', 'Kalamboli Circle | MGM Hospital', 'Kalamboli Colony', 'Kamothe Village | K.L.E College', 'Kamothe Phata', 'Taloja Phata', 'Spageti Gharkul', 'Kopra Gaon', 'Hiranandani Highway Kharghar', 'Kharghar Railway Station', 'CBD Fire Brigade Station', 'CBD Belapur Bus Station', 'CBD Fire Brigade Station', 'CBD Belapur Highway / Konkan Bhavan', 'Uran Phata', 'S.B.I Colony / Tata Press', 'Dr D.Y Patil Stadium (Nerul)', 'Nerul Naka', 'Shirvane Village', 'Juinagar Station (Herdilla Co.)', 'Sanpada Police Station', 'Turbhe Naka (Janta Market)', 'Turbhe Railway Bridge', 'I.C.L School (Vashi)', 'A.P.M.C Market (Vashi)', 'Kanda Batata Market', 'Saint Lawrence High School (Vashi)', 'Navratna Hotel Vashi', 'Apna Bazaar Sector 17 Vashi', 'Vashi Highway', 'Vashi Village', 'Khadi Pul / Toll Naka', 'Mankhurd Octroi Naka', 'Maharashtra Nagar (Mankhurd)', 'Mankhurd Station (N)', 'Agarwadi (Mankhurd)', 'Raj Kapoor Chowk / Bhabha Hospital', 'Telecom Factory', 'Punjabwadi', 'Deonar Depot', 'RK Studio', 'Maitri Park', 'Reserve Bank Colony', 'Acharya Udyan / Diamond Garden', 'Acharya Udyan', 'Sandu Wadi', 'Chembur Naka (Swami Vivekanand Chowk)', 'Kumbharwada (Chembur)', 'Umarshi Bappa Chowk (Chembur)', 'Lokshahir Annabhau Sathe Udyan / Suman Nagar', 'Priyadarshini', 'Everard Nagar', 'Canara Bank BKC', 'NSE | BKC', 'Tata Colony (B.K.C)', 'Income Tax Office (B.K.C)', 'Reserve Bank Of India (B.K.C)', 'M.M.R.D.A / Family Court (B.K.C)', 'Kalanagar (B.K.C Road)', 'Kalanagar (Bandra E)', 'P.Mohammed Rafi Chowk (Bandra-W)', 'Bandra Police Station', 'Bhabha Hospital', 'Bandra Talkies', 'Bandra Talao', 'Bandra Station (W) [Nmmt]']"
82,Vashi Railway Station ↔ Diva Station,"['Vashi Railway Station', 'Y B Chavan Marg Junction / Center One', 'Vashi Sector 17 / Apna Bazar', 'Navratna Hotel Vashi', 'Vashi Bus Station', 'Saint Lawrence High School (Vashi)', 'Kanda Batata Market', 'A.P.M.C Market (Vashi)', 'I.C.L School (Vashi)', 'Turbhe Naka', 'Dambar Plant', 'Lubrizol Company | Indiranagar', 'Indira Nagar', 'Bagade Engineers', 'Sunravi Printers', 'Shalimar', 'Hayko', 'Krishna Steel', 'Pawan Industries', 'Ramnath Solar', 'Nelco Mahape', 'Mahape Gaon', 'Mahape Junction', 'Lipi Computers', 'L&T Company Mahape', 'Adavali Bhutawali', 'Bajrang Hotel', 'Khadichi Machine', 'Cidco Water Supply', 'Punjab Puja Hotel', 'Shil Nursery', 'Shil Phata Mahape Road', 'Talav', 'Shil Gaon', 'Phadke Tantra Niketan', 'Ladhi Company', 'Chandicha Pada', 'Khardi Gaon', 'Sudama Regency', 'National School Diva', 'Diva Station']"
45,Taloja Phase 2 ↔ Kharghar Railway Station,"['Taloja Phase 2', 'Shelter Corner Taloja', 'Kalpavriksha Aura Taloja', 'Metro Bridge Taloja', 'Karnal Bank', 'Royal Residency / Midland', 'Railway Crossing Taloja', 'Taloja Highway', 'Taloja Gaon R.A.F.', 'Bageshree Apartment Sector 40', 'Parshi Pada', 'Gokuldham Developers', 'Bank Of India Sector 35 Kharghar', 'Sector 35 Circle', 'Kharghar Sector 35 (Manjiri Paradise) Bharatmata Chowk', 'Ove Gaon (C.I.S.F)', 'Sai Satsang', 'Empyrean School', 'Ove Camp', 'Tata Cancer Hospital', 'Gurudwara', 'Central Park / Pandav Kada', 'Hare Krishna Mandir', 'Jesus Saint Merry School', 'Regency Garden / Petrol Pump', 'I.T.Park', 'Bal Bharati Vidyalaya', 'Yerla Arogya Kendra', 'Kharghar Subway', 'Kharghar Railway Station']"
76,Panvel Station (W) ↔ Karanjade Sector 6 (Jai Sambhav Society),"['Panvel Station (W)', 'Panvel Bus Station / Shivajinagar', 'Panvel S.T.Stand', 'Bhaji Market (Panvel)', 'Shivaji Maharaj Chowk', 'M.T.N.L.', 'S.B.I.(Panvel)', 'Pancharatna Hotel', 'Raigad Bazar', 'Tapal Naka', 'Karanjade Phata', 'College Phata', 'Karanjade Sector 3', 'Karanjade Sector 4 / Bhakti Apartment', 'Karanjade Gaon', 'Tulsi Garden', 'Krishna Kutir', 'Karanjade Sector 6 (Jai Sambhav Society)']"
40,Dahisar Gaon Naka ↔ Ghansoli Gharonda (Towards Ghansoli Depot),"['Dahisar Gaon Naka', 'Karmnagari', 'Dahisar Mori / Pimpri', 'Khot Bungalow', 'Bhandarli Gaon', 'Uttar Shiv Phata', 'Gotheghar (Hotel Govardhan)', 'Shil Daighar Police Station', 'Kalyan Phata (Datta Mandir)', 'Kalyan Phata (Dahisar Gaon)', 'Shil Phata Mahape Road', 'Shil Nursery', 'Punjab Puja Hotel', 'Cidco Water Supply', 'Khadichi Machine', 'Bajrang Hotel', 'Adavali Bhutawali', 'L&T Company Mahape', 'Lipi Computers', 'Mahape Junction', 'Mahape Gaon', 'Nelco', 'Ramnath Solar', 'Pavan Industries', 'Krishna Steel', 'Hayko', 'Shalimar', 'Sunravi Printers', 'Bagade Engineers', 'Indira Nagar', 'Indira Nagar', 'Dambar Plant', 'Turbhe Naka', 'Turbhe Naka (Janta Market)', 'Turbhe Village', 'Sanpada Highway', 'Sanpada Station', 'Mafco Market Sanpada', 'A.P.M.C Market (Vashi)', 'Kanda Batata Market', 'Saint Lawrence High School (Vashi)', 'Vashi Bus Station', 'Vashi Sector 9/16', 'Navi Mumbai Bank (Vashi Sector 10/15)', 'Vashi Sector 10/15', 'Mahatma Gandhi Complex (Juhu Nagar)', 'Juhu Village Sector 14', 'Vashi Sector 29', 'Mega Mart / O.E.S International School', 'Bonkode Village / Kalash Udyan', 'R.F Naik School', 'Koparkhairane Sector 7/15 (Shubham Palace)', 'Koparkhairane Bus Station', 'Ranjan Devi Chowk', 'Kopar Khairane Sector 2/20', 'Terna Engineering College', 'Terna College (Pool)', 'Blossom Cooperative Society', 'Sector 3 Water Tank', 'Panchavati', 'Ghansoli Sector 4', 'Navi Mumbai City School / Sankalp Vachanalay', 'Bhoomi Oscar Chowk', 'Rajiv Gandhi College', 'Ghansoli Gharonda (Towards Ghansoli Depot)']"
48,Vashivali Gaon (Rasayani) ↔ Belapur Railway Station,"['Vashivali Gaon (Rasayani)', 'Vashivali Vadi', 'Borivali Gaon (Vashivali)', 'Reliance Petrol Pump', 'Reliance Company Rasayani', 'Cipla Gate (Rasayani)', 'Cipla Corner', 'Kaire Shivaji Nagar', 'Reliance Gate No.1', 'Rasayani Police Station', 'Paratha Corner', 'Khane Ambivali', 'Pillai College Char Phata', 'Mohopada', 'Pansil Gaon', 'Chambharli Gaon', 'Rees Bauddhwadi (Apana Bazar)', 'Reesgaon', 'Bhatwadi Sai Nivas', 'Reeswadi', 'Dand Phata', 'M.J.P.Office', 'Bhokarpada', 'Samtanagar (Barvai Gaon)', 'Bavrai Gaon', 'Poyanje / Khanavale Phata', 'Thobrewadi (Godrej City)', 'Bhingarwadi', 'Shedung', 'Anjivali', 'Raigad Petrol Pump Ajivali', 'Kon Gaon', 'Chikhale Gaon', 'Derivali', 'Kolkhe Gaon', 'Hotel Rahul Park', 'Palaspe Phata', 'O.N.G.C.Kalundre', 'Bhingari', 'Panchmukhi Hanuman Mandir', 'National Residency', 'Takka Gaon Chowk', 'Panvel Station Chowk', 'Panvel Bus Station / Shivajinagar', 'Orion Mall Panvel', 'New Panvel Bridge', 'Amardham / C.K.T College', 'Thane Naka / Garden Hotel', 'Khanda Gaon Colony', 'Khanda Gaon Netrajyot Hospital', 'Asudgaon Depot Highway', 'Kalamboli Chowk (M.G.M.Hospital)', 'Kalamboli Colony', 'Kamothe Village / K.L.E College', 'Kamothe Phata', 'Taloja Phata', 'Spageti Gharkul', 'Kopra Gaon', 'Hiranandani Highway Kharghar', 'Kharghar Railway Station', 'Konkan Bhavan', 'Belapur Railway Station']"
64,Ghansoli Depot ↔ Digha Village,"['Ghansoli Depot', 'Atlantis Society', 'Cloud 36 Society', 'Bhoomi Oscar Chowk', 'Rajiv Gandhi College', 'Ghansoli Gharonda (Towards Vashi)', 'Rajiv Gandhi College', 'Navi Mumbai City School / Sankalp Vachanalay', 'Ghansoli Sector 4', 'Panchavati', 'Sector 3 Water Tank', 'Sant Rajinder Singh Ashram', 'Terna Engineering College', 'Helan Kelar Institute', 'MBP Mahape', 'MBP Mahape (Millennium Business Park)', 'Helan Kelar Institute', 'Mahape Naka', 'Ghansoli Station', 'Standard Alkali Company', 'Ghansoli Naka', 'Talavali Naka / Nocil Company', 'Gothivali Village / Telephone Exchange', 'Rabale Station', 'Rabale Naka', 'Rabale Police Station', 'Siemens Company', 'Bharat Bijlee Airoli', 'Airoli Station', 'Minds Space', 'Airoli Naka', 'Reliable Plaza', 'M.S.E.B Digha', 'Digha Village']"
10,Sanpada Station ↔ Ghansoli Depot,"['Sanpada Station', 'Mafco Market Sanpada', 'A.P.M.C Fruit & Vegetables Market', 'Mathadi Bhavan', 'Mathadi Bhavan / Commodity Exchange', 'State Bank / Saurashtra Bank', 'Dana Bazar Gate No.2', 'R.T.O Office Sector 26', 'Sector 26 Vashi', 'Navi Mumbai Vidyalaya', 'Sai Siddhi Apartments', 'Kopri Talav / Panyachi Taki', 'Shwan Niyantran Kaksha', 'Balaji Garden', 'Samata Nagar Sevasangh Sector 11', 'R.F Naik School', 'Koparkhairane Sector 7/15 (Shubham Palace)', 'Koparkhairane Bus Station', 'Ranjan Devi Chowk', 'Kopar Khairane Sector 2/20', 'Sant Rajinder Singh Ashram', 'Navi Mumbai Co.Op.Bank', 'Ghansoli Dargah', 'Ghansoli Railway Station (W)', 'Panchavati', 'Siddheshwar Society', 'Ghansoli Gharonda', 'Rajiv Gandhi College', 'Bhoomi Oscar Chowk', 'Megh Malhar Society', 'Cloud 36 Society', 'Atlantis Society', 'Ghansoli Depot']"
